,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,ObjectId,Total_Cases,NSW_Deaths,VIC_Deaths,QLD_Deaths,SA_Deaths,WA_Deaths,TAS_Deaths,NT_Deaths,ACT_Deaths,Total_Deaths,NSW_Tests,VIC_Tests,QLD_Tests,SA_Tests,WA_Tests,TAS_Tests,NT_Tests,ACT_Tests,NSW_Tests_Negative,VIC_Tests_Negative,QLD_Tests_Negative,SA_Tests_Negative,WA_Tests_Negative,TAS_Tests_Negative,NT_Tests_Negative,ACT_Tests_Negative,Total_Tests,Total_Tests_Negative
2020-03-18,267.0,121.0,94.0,37.0,35.0,10.0,0.0,3.0,638,567,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,35800.0,15200.0,0.0,0.0,0.0,0.0,0.0,0.0,33387.0,0.0,0.0,0.0,7039.0,0.0,0.0,0.0,51000,40426
2020-03-19,307.0,150.0,144.0,42.0,52.0,10.0,0.0,4.0,639,709,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7,39089.0,17180.0,27064.0,15000.0,8008.0,707.0,0.0,1857.0,39089.0,0.0,0.0,0.0,7956.0,0.0,0.0,1853.0,108905,48898
2020-03-20,436.0,178.0,184.0,50.0,64.0,0.0,2.0,6.0,640,920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46892.0,19337.0,0.0,16717.0,8603.0,0.0,0.0,0.0,46892.0,0.0,0.0,0.0,8539.0,0.0,0.0,2056.0,91549,57487
2020-03-21,533.0,229.0,221.0,57.0,90.0,16.0,5.0,9.0,642,1160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52633.0,20500.0,0.0,0.0,0.0,0.0,0.0,2221.0,52130.0,0.0,0.0,0.0,9130.0,0.0,0.0,2212.0,75354,63472
2020-03-22,669.0,296.0,259.0,100.0,120.0,22.0,0.0,19.0,643,1485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56941.0,22900.0,0.0,0.0,9500.0,0.0,0.0,0.0,56272.0,0.0,0.0,0.0,0.0,0.0,0.0,2395.0,89341,58667
2020-03-23,704.0,355.0,319.0,134.0,140.0,28.0,0.0,32.0,644,1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23700.0,32000.0,0.0,10088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9948.0,0.0,0.0,2576.0,65788,12524
2020-03-24,1029.0,411.0,397.0,170.0,175.0,28.0,6.0,39.0,645,2255,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,68177.0,23700.0,38860.0,16717.0,10528.0,707.0,0.0,2221.0,0.0,0.0,0.0,0.0,10353.0,0.0,0.0,2576.0,160910,12929
2020-03-25,1219.0,466.0,443.0,197.0,205.0,42.0,6.0,44.0,646,2622,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,11,74006.0,26905.0,38860.0,16717.0,10783.0,1272.0,0.0,3008.0,72787.0,0.0,0.0,0.0,10353.0,0.0,0.0,2964.0,171551,86104
2020-03-26,1405.0,520.0,493.0,235.0,231.0,47.0,12.0,53.0,647,2996,7.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,12,77689.0,26900.0,38860.0,16717.0,11519.0,1272.0,0.0,3008.0,76284.0,0.0,0.0,0.0,11288.0,0.0,0.0,3216.0,175965,90788
2020-03-27,1617.0,574.0,555.0,257.0,255.0,58.0,12.0,62.0,652,3390,8.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,14,77689.0,27800.0,38860.0,23500.0,11519.0,1779.0,0.0,3008.0,76284.0,0.0,0.0,0.0,11288.0,0.0,0.0,3216.0,184155,90788
2020-03-28,1791.0,685.0,625.0,287.0,278.0,58.0,14.0,71.0,653,3809,8.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,15,93099.0,27800.0,38860.0,30150.0,11519.0,1779.0,0.0,4059.0,91308.0,0.0,0.0,0.0,11288.0,0.0,0.0,3988.0,207266,106584
2020-03-29,1918.0,769.0,656.0,299.0,311.0,62.0,14.0,77.0,654,4106,8.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,17,96452.0,39000.0,38860.0,26000.0,13648.0,1779.0,0.0,4059.0,94534.0,0.0,0.0,0.0,13337.0,0.0,0.0,4230.0,219798,112101
2020-03-30,2032.0,821.0,689.0,305.0,355.0,65.0,14.0,78.0,655,4359,8.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,19,96452.0,42000.0,38860.0,26000.0,14188.0,1779.0,0.0,4059.0,94534.0,0.0,0.0,0.0,13833.0,0.0,0.0,4363.0,223338,112730
2020-03-31,2032.0,917.0,743.0,337.0,364.0,68.0,16.0,80.0,657,4557,8.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,19,99951.0,45000.0,38860.0,26000.0,14188.0,1779.0,0.0,4059.0,94534.0,0.0,0.0,0.0,13833.0,0.0,0.0,4363.0,229837,112730
2020-04-01,2182.0,968.0,781.0,367.0,392.0,71.0,18.0,84.0,658,4863,9.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,20,105543.0,47000.0,50853.0,29000.0,15522.0,1779.0,0.0,4059.0,94534.0,0.0,0.0,0.0,13833.0,0.0,0.0,4363.0,253756,112730
2020-04-02,2298.0,1036.0,835.0,385.0,400.0,74.0,20.0,88.0,659,5136,10.0,6.0,3.0,0.0,2.0,2.0,0.0,1.0,24,105543.0,49000.0,50853.0,29000.0,16190.0,1779.0,0.0,4.0,94534.0,0.0,0.0,0.0,13833.0,0.0,0.0,4363.0,252369,112730
2020-04-03,2389.0,1085.0,873.0,396.0,422.0,80.0,22.0,91.0,660,5358,12.0,7.0,3.0,0.0,3.0,2.0,0.0,1.0,28,114455.0,51000.0,53000.0,30000.0,16444.0,1779.0,0.0,5018.0,94534.0,0.0,0.0,0.0,13833.0,0.0,0.0,4363.0,271696,112730
2020-04-04,2493.0,1115.0,900.0,396.0,422.0,80.0,22.0,93.0,661,5521,12.0,8.0,3.0,0.0,3.0,2.0,0.0,2.0,30,114455.0,51000.0,53000.0,30000.0,16444.0,1779.0,0.0,5018.0,94534.0,0.0,0.0,0.0,13833.0,0.0,0.0,4363.0,271696,112730
